v (cm^-1),intensity
397.764050,0.675052
395.348900,0.652788
392.933750,0.628344
390.518600,0.566038
388.103450,0.563941
385.688300,0.528302
383.273150,0.501048
380.859350,0.471698
378.444200,0.410901
376.029050,0.387841
373.613900,0.366876
371.198750,0.324948
368.783600,0.306080
366.368450,0.303983
363.953300,0.285115
361.538150,0.283019
359.123000,0.262055
356.707850,0.245283
354.294050,0.237233
351.878900,0.212788
349.463750,0.208595
347.048600,0.201258
344.633450,0.197065
342.218300,0.190776
339.803150,0.184486
337.388000,0.183438
334.972850,0.181342
332.557700,0.180294
330.142550,0.171908
327.728750,0.171908
325.313600,0.171908
322.898450,0.169811
320.483300,0.169811
318.068150,0.169811
315.653000,0.168763
313.237850,0.167715
310.822700,0.167715
308.407550,0.166667
305.992400,0.167715
303.577250,0.167715
301.163450,0.167715
298.748300,0.167715
296.333150,0.167715
293.918000,0.167715
291.502850,0.169811
289.087700,0.171908
286.672550,0.171908
284.257400,0.171908
281.842250,0.174004
279.427100,0.174004
277.011950,0.175052
274.598150,0.175052
272.183000,0.175052
269.767850,0.177149
267.352700,0.179245
264.937550,0.181342
262.522400,0.181342
260.107250,0.182390
257.692100,0.183438
255.276950,0.184486
252.861800,0.185535
250.446650,0.184486
248.032850,0.184486
245.617700,0.190776
243.202550,0.190776
240.787400,0.191824
238.372250,0.192872
235.957100,0.193920
233.541950,0.194969
231.126800,0.196017
228.711650,0.196017
226.296500,0.196017
223.881350,0.199161
221.467550,0.202306
219.052400,0.202306
216.637250,0.203354
214.222100,0.204403
211.806950,0.205451
209.391800,0.206499
206.976650,0.205451
204.561500,0.205451
202.146350,0.214885
199.731200,0.214885
197.316050,0.215933
194.902250,0.214885
192.487100,0.215933
190.071950,0.216981
187.656800,0.216981
185.241650,0.222222
182.826500,0.227463
180.411350,0.227463
177.996200,0.228512
175.581050,0.230608
173.165900,0.232704
170.750750,0.233753
168.336950,0.233753
165.921800,0.244235
163.506650,0.244235
161.091500,0.246331
158.676350,0.247379
156.261200,0.251572
153.846050,0.258910
151.430900,0.258910
149.015750,0.261006
146.600600,0.266247
144.185450,0.269392
141.771650,0.273585
139.356500,0.275681
136.941350,0.280922
134.526200,0.286164
132.111050,0.291405
129.695900,0.297694
127.280750,0.300839
124.865600,0.306080
122.450450,0.312369
120.035300,0.319706
117.620150,0.323899
115.206350,0.333333
112.791200,0.340147
110.376050,0.346960
107.960900,0.349057
105.545750,0.356394
103.130600,0.362683
100.715450,0.394130
98.300300,0.417191
95.885150,0.433962
93.470000,0.436059
91.054850,0.440252
88.641050,0.486373
86.225900,0.498952
83.810750,0.524109
81.395600,0.530398
78.980450,0.551363
76.565300,0.563941
74.150150,0.572327
71.735000,0.591195
69.319850,0.610063
66.904700,0.631027
64.489550,0.651992
62.075750,0.672956
59.660600,0.693920
57.245450,0.712788
54.830300,0.714885
52.415150,0.733753
