Δν (CM⁻¹),INTENSITY
1128.748550,0.277592
1126.661450,0.267559
1124.574350,0.255853
1122.488600,0.254181
1120.401500,0.224080
1118.315750,0.224080
1116.228650,0.224080
1114.141550,0.245819
1112.055800,0.244983
1109.968700,0.243311
1107.882950,0.241639
1105.795850,0.241639
1103.710100,0.239967
1101.623000,0.239967
1099.535900,0.239967
1097.450150,0.239967
1095.363050,0.239967
1093.277300,0.239967
1091.190200,0.239967
1089.103100,0.223244
1087.017350,0.223244
1084.930250,0.223244
1082.844500,0.223244
1080.757400,0.223244
1078.670300,0.223244
1076.584550,0.223244
1074.497450,0.239967
1072.411700,0.239967
1070.324600,0.239967
1068.237500,0.223244
1066.151750,0.223244
1064.064650,0.223244
1061.978900,0.223244
1059.891800,0.223244
1057.804700,0.223244
1055.718950,0.239967
1053.631850,0.239967
1051.546100,0.239967
1049.459000,0.220736
1047.371900,0.220736
1045.286150,0.220736
1043.199050,0.220736
1041.113300,0.220736
1039.026200,0.220736
1036.939100,0.220736
1034.853350,0.238294
1032.766250,0.238294
1030.680500,0.220736
1028.593400,0.220736
1026.506300,0.220736
1024.420550,0.221572
1022.333450,0.221572
1020.247700,0.221572
1018.160600,0.221572
1016.074850,0.221572
1013.987750,0.239130
1011.900650,0.220736
1009.814900,0.220736
1007.727800,0.221572
1005.642050,0.221572
1003.554950,0.221572
1001.467850,0.221572
999.382100,0.221572
997.295000,0.239967
995.209250,0.222408
993.122150,0.222408
991.035050,0.221572
988.949300,0.221572
986.862200,0.221572
984.776450,0.221572
982.689350,0.221572
980.602250,0.221572
978.516500,0.239967
976.429400,0.239967
974.343650,0.223244
972.256550,0.223244
970.169450,0.223244
968.083700,0.223244
965.996600,0.223244
963.910850,0.223244
961.823750,0.223244
959.736650,0.223244
957.650900,0.239967
955.563800,0.239967
953.478050,0.239967
951.390950,0.224080
949.303850,0.224080
947.218100,0.224916
945.131000,0.224916
943.045250,0.224916
940.958150,0.224916
938.871050,0.224916
936.785300,0.240803
934.698200,0.241639
932.612450,0.225753
930.525350,0.225753
928.439600,0.224916
926.352500,0.224916
924.265400,0.225753
922.179650,0.224916
920.092550,0.224916
918.006800,0.224916
915.919700,0.241639
913.832600,0.225753
911.746850,0.225753
909.659750,0.224916
907.574000,0.224916
905.486900,0.224916
903.399800,0.224916
901.314050,0.225753
899.226950,0.225753
897.141200,0.243311
895.054100,0.226589
892.967000,0.226589
890.881250,0.226589
888.794150,0.226589
886.708400,0.226589
884.621300,0.226589
882.534200,0.226589
880.448450,0.226589
878.361350,0.244983
876.275600,0.226589
874.188500,0.226589
872.101400,0.226589
870.015650,0.226589
867.928550,0.226589
865.842800,0.226589
863.755700,0.226589
861.668600,0.226589
859.582850,0.245819
857.495750,0.229097
855.410000,0.229097
853.322900,0.228261
851.237150,0.228261
849.150050,0.228261
847.062950,0.228261
844.977200,0.229097
842.890100,0.229097
840.804350,0.229933
838.717250,0.230769
836.630150,0.229933
834.544400,0.230769
832.457300,0.230769
830.371550,0.231605
828.284450,0.231605
826.197350,0.231605
824.111600,0.248328
822.024500,0.232441
819.938750,0.232441
817.851650,0.233278
815.764550,0.233278
813.678800,0.233278
811.591700,0.233278
809.505950,0.233278
807.418850,0.250000
805.331750,0.250000
803.246000,0.250000
801.158900,0.234114
799.073150,0.233278
796.986050,0.232441
794.898950,0.232441
792.813200,0.233278
790.726100,0.233278
788.640350,0.233278
786.553250,0.251672
784.466150,0.238294
782.380400,0.245819
780.293300,0.246656
778.207550,0.247492
776.120450,0.262542
774.033350,0.265886
771.947600,0.270903
769.860500,0.274247
767.774750,0.247492
765.687650,0.249164
763.601900,0.263796
761.514800,0.278428
759.427700,0.280936
757.341950,0.283445
755.254850,0.285953
753.169100,0.288462
751.082000,0.289298
748.994900,0.289298
746.909150,0.288462
744.822050,0.255853
742.736300,0.250836
740.649200,0.247492
738.562100,0.280936
736.476350,0.279264
734.389250,0.275920
732.303500,0.240803
730.216400,0.240803
728.129300,0.240803
726.043550,0.251672
723.956450,0.262542
721.870700,0.256480
719.783600,0.250418
717.696500,0.244356
715.610750,0.238294
713.523650,0.238294
711.437900,0.238294
709.350800,0.238294
707.263700,0.238294
705.177950,0.258361
703.090850,0.258361
701.005100,0.258361
698.918000,0.238294
696.830900,0.238294
694.745150,0.238294
692.658050,0.238294
690.572300,0.238294
688.485200,0.238294
686.398100,0.258361
684.312350,0.258361
682.225250,0.258361
680.139500,0.249164
678.052400,0.235786
675.966650,0.235786
673.879550,0.235786
671.792450,0.235786
669.706700,0.235786
667.619600,0.248328
665.533850,0.247492
646.754000,0.250836
644.668250,0.251672
642.581150,0.235368
640.494050,0.219064
638.408300,0.219064
636.321200,0.219900
634.235450,0.219900
632.148350,0.219900
630.061250,0.220736
627.975500,0.219900
625.888400,0.219900
623.802650,0.220736
621.715550,0.221572
619.628450,0.221572
617.542700,0.221572
615.455600,0.221572
613.369850,0.222408
611.282750,0.222408
609.195650,0.258361
607.109900,0.259197
605.022800,0.259197
602.937050,0.260033
600.849950,0.261706
598.762850,0.261706
596.677100,0.263378
594.590000,0.263378
592.504250,0.264214
590.417150,0.265050
